artist,title,album,recordLabel,sequence,programTitle,episodeTitle,episodeTimestamp
SAULT,Still Waters,,,41,Gilles Peterson,Joining The Musical Dots: Saul Williams,2022-11-05T15:00:00+00:00
Nat Birchall,Heart-Spirit-Love,,Gondwana Records,42,Gilles Peterson,Joining The Musical Dots: Saul Williams,2022-11-05T15:00:00+00:00
NautilusKei Owada,Lady Day and John ColtraneKei Owada,,Agogo Records,0,Gilles Peterson,"Joining The Musical Dots: Rebecca Vasmant, Hagan, Muriel Grossmann",2022-10-29T15:00:00+01:00
Jeff Parker,2019-07-08 I,,Eremite Records,1,Gilles Peterson,"Joining The Musical Dots: Rebecca Vasmant, Hagan, Muriel Grossmann",2022-10-29T15:00:00+01:00
Donna Thompson,I Try,,PRAH Recordings,2,Gilles Peterson,"Joining The Musical Dots: Rebecca Vasmant, Hagan, Muriel Grossmann",2022-10-29T15:00:00+01:00
Lily,So-Yo,,Express,3,Gilles Peterson,"Joining The Musical Dots: Rebecca Vasmant, Hagan, Muriel Grossmann",2022-10-29T15:00:00+01:00
Teruo Nakamura,Cat,,Polydor,4,Gilles Peterson,"Joining The Musical Dots: Rebecca Vasmant, Hagan, Muriel Grossmann",2022-10-29T15:00:00+01:00
VennaYussef DayesMarco BernadisRocco Palladino,Sicily BoxRocco Palladino,,,5,Gilles Peterson,"Joining The Musical Dots: Rebecca Vasmant, Hagan, Muriel Grossmann",2022-10-29T15:00:00+01:00
Vincent Geminiani,Insidieusement Les Elfes,,Musique Pour L'Image,6,Gilles Peterson,"Joining The Musical Dots: Rebecca Vasmant, Hagan, Muriel Grossmann",2022-10-29T15:00:00+01:00
Muriel Grossmann,Interconnection (Exclusive),,,7,Gilles Peterson,"Joining The Musical Dots: Rebecca Vasmant, Hagan, Muriel Grossmann",2022-10-29T15:00:00+01:00
Muriel Grossmann,Resonance,,Dreamland,8,Gilles Peterson,"Joining The Musical Dots: Rebecca Vasmant, Hagan, Muriel Grossmann",2022-10-29T15:00:00+01:00
Sarathy Korwar,Remember To Look Out For The Signs,,The Leaf Label,9,Gilles Peterson,"Joining The Musical Dots: Rebecca Vasmant, Hagan, Muriel Grossmann",2022-10-29T15:00:00+01:00
Goat,Face,,Rocket Recordings,10,Gilles Peterson,"Joining The Musical Dots: Rebecca Vasmant, Hagan, Muriel Grossmann",2022-10-29T15:00:00+01:00
Mauskovic Dance Band,Wie niet weg is is gezien,,Les Disques Bongo Joe,11,Gilles Peterson,"Joining The Musical Dots: Rebecca Vasmant, Hagan, Muriel Grossmann",2022-10-29T15:00:00+01:00
Grupo Alcano,Socorro (Thriller),,Copacabana,12,Gilles Peterson,"Joining The Musical Dots: Rebecca Vasmant, Hagan, Muriel Grossmann",2022-10-29T15:00:00+01:00
Louis Cole,Failing In A Cooler Way,,Brainfeeder,13,Gilles Peterson,"Joining The Musical Dots: Rebecca Vasmant, Hagan, Muriel Grossmann",2022-10-29T15:00:00+01:00
Caytra,You Lost!,,Bridge The Gap Records,14,Gilles Peterson,"Joining The Musical Dots: Rebecca Vasmant, Hagan, Muriel Grossmann",2022-10-29T15:00:00+01:00
Aurora Dee Raynes,Crazy That You Love (El-B Remix),,,15,Gilles Peterson,"Joining The Musical Dots: Rebecca Vasmant, Hagan, Muriel Grossmann",2022-10-29T15:00:00+01:00
El-B,The Spooks,,Ghost,16,Gilles Peterson,"Joining The Musical Dots: Rebecca Vasmant, Hagan, Muriel Grossmann",2022-10-29T15:00:00+01:00
James Brandon Lewis,Some Day We'll All Be Free,,ANTI-,17,Gilles Peterson,"Joining The Musical Dots: Rebecca Vasmant, Hagan, Muriel Grossmann",2022-10-29T15:00:00+01:00
Hagan,Royal Jama,,Python Syndicate Music,18,Gilles Peterson,"Joining The Musical Dots: Rebecca Vasmant, Hagan, Muriel Grossmann",2022-10-29T15:00:00+01:00
HaganAyeisha Raquel,Pray For MeAyeisha Raquel,,Python Syndicate Music,19,Gilles Peterson,"Joining The Musical Dots: Rebecca Vasmant, Hagan, Muriel Grossmann",2022-10-29T15:00:00+01:00
HaganBryte,Welcome To GhanaBryte,,Python Syndicate Music,20,Gilles Peterson,"Joining The Musical Dots: Rebecca Vasmant, Hagan, Muriel Grossmann",2022-10-29T15:00:00+01:00
Divine Angel,OBiNRiN (Jkarri Remix),,,21,Gilles Peterson,"Joining The Musical Dots: Rebecca Vasmant, Hagan, Muriel Grossmann",2022-10-29T15:00:00+01:00
Nosaj ThingDuval Timothy,ContinuousDuval Timothy,,LuckyMe Records,22,Gilles Peterson,"Joining The Musical Dots: Rebecca Vasmant, Hagan, Muriel Grossmann",2022-10-29T15:00:00+01:00
The Stoned Autopilot,June,,Frontier UK,23,Gilles Peterson,"Joining The Musical Dots: Rebecca Vasmant, Hagan, Muriel Grossmann",2022-10-29T15:00:00+01:00
Uffe,"Sunrise, Coffee & Cigarettes",,Tartlet Recordings,24,Gilles Peterson,"Joining The Musical Dots: Rebecca Vasmant, Hagan, Muriel Grossmann",2022-10-29T15:00:00+01:00
Zopelar,Rio,,Tartlet Recordings,25,Gilles Peterson,"Joining The Musical Dots: Rebecca Vasmant, Hagan, Muriel Grossmann",2022-10-29T15:00:00+01:00
Uffe,"Sunrise, Coffee & Cigarettes",,Tartlet Recordings,26,Gilles Peterson,"Joining The Musical Dots: Rebecca Vasmant, Hagan, Muriel Grossmann",2022-10-29T15:00:00+01:00
"Work, Money, Death",Freedom As A Heartfelt Song,,Ata Records,27,Gilles Peterson,"Joining The Musical Dots: Rebecca Vasmant, Hagan, Muriel Grossmann",2022-10-29T15:00:00+01:00
